[M::mm_idx_gen::9.209*1.69] collected minimizers
[M::mm_idx_gen::10.622*4.83] sorted minimizers
[M::main::10.623*4.83] loaded/built the index for 18131 target sequence(s)
[M::mm_mapopt_update::10.623*4.83] mid_occ = 1000
[M::worker_pipeline::72.752*13.81] mapped 542625 sequences
[M::worker_pipeline::73.429*13.82] mapped 540300 sequences
[M::worker_pipeline::74.089*13.82] mapped 538003 sequences
[M::worker_pipeline::74.765*13.83] mapped 540245 sequences
[M::worker_pipeline::75.363*13.84] mapped 539842 sequences
[M::worker_pipeline::75.936*13.87] mapped 540249 sequences
[M::worker_pipeline::76.496*13.89] mapped 539498 sequences
[M::worker_pipeline::77.088*13.91] mapped 540338 sequences
[M::worker_pipeline::77.666*13.93] mapped 538165 sequences
[M::worker_pipeline::78.253*13.94] mapped 539242 sequences
[M::worker_pipeline::78.909*13.95] mapped 538315 sequences
[M::worker_pipeline::79.670*13.93] mapped 538298 sequences
[M::worker_pipeline::80.216*13.95] mapped 538434 sequences
[M::worker_pipeline::80.934*13.94] mapped 538545 sequences
[M::worker_pipeline::81.441*13.97] mapped 537659 sequences
[M::worker_pipeline::82.033*13.98] mapped 535530 sequences
[M::worker_pipeline::82.665*13.99] mapped 552612 sequences
[M::worker_pipeline::83.391*13.99] mapped 552826 sequences
[M::worker_pipeline::84.072*14.00] mapped 551641 sequences
[M::worker_pipeline::84.702*14.01] mapped 550268 sequences
[M::worker_pipeline::85.256*14.03] mapped 549772 sequences
[M::worker_pipeline::85.829*14.04] mapped 549316 sequences
[M::worker_pipeline::86.404*14.06] mapped 548926 sequences
[M::worker_pipeline::87.005*14.07] mapped 548562 sequences
[M::worker_pipeline::87.685*14.07] mapped 548413 sequences
[M::worker_pipeline::88.375*14.07] mapped 547293 sequences
[M::worker_pipeline::89.041*14.07] mapped 547043 sequences
[M::worker_pipeline::89.636*14.09] mapped 547359 sequences
[M::worker_pipeline::90.315*14.09] mapped 546899 sequences
[M::worker_pipeline::90.857*14.11] mapped 545964 sequences
[M::worker_pipeline::91.445*14.12] mapped 546346 sequences
[M::worker_pipeline::92.168*14.12] mapped 545868 sequences
[M::worker_pipeline::92.833*14.12] mapped 545239 sequences
[M::worker_pipeline::93.507*14.12] mapped 544563 sequences
[M::worker_pipeline::94.119*14.13] mapped 543877 sequences
[M::worker_pipeline::94.701*14.14] mapped 543360 sequences
[M::worker_pipeline::95.258*14.15] mapped 542950 sequences
[M::worker_pipeline::95.863*14.16] mapped 542787 sequences
[M::worker_pipeline::96.462*14.17] mapped 542263 sequences
[M::worker_pipeline::97.132*14.17] mapped 542391 sequences
[M::worker_pipeline::97.773*14.17] mapped 541117 sequences
[M::worker_pipeline::98.428*14.17] mapped 539714 sequences
[M::worker_pipeline::99.026*14.18] mapped 538568 sequences
[M::worker_pipeline::99.706*14.18] mapped 538528 sequences
[M::worker_pipeline::100.295*14.19] mapped 536906 sequences
[M::worker_pipeline::100.849*14.20] mapped 536165 sequences
[M::worker_pipeline::101.508*14.21] mapped 552216 sequences
[M::worker_pipeline::102.217*14.21] mapped 553378 sequences
[M::worker_pipeline::102.911*14.21] mapped 551496 sequences
[M::worker_pipeline::103.540*14.22] mapped 551096 sequences
[M::worker_pipeline::104.087*14.24] mapped 550028 sequences
[M::worker_pipeline::104.642*14.26] mapped 549216 sequences
[M::worker_pipeline::105.191*14.27] mapped 548962 sequences
[M::worker_pipeline::105.779*14.28] mapped 548998 sequences
[M::worker_pipeline::106.493*14.28] mapped 548909 sequences
[M::worker_pipeline::107.157*14.28] mapped 547949 sequences
[M::worker_pipeline::107.838*14.28] mapped 548291 sequences
[M::worker_pipeline::108.400*14.29] mapped 547979 sequences
[M::worker_pipeline::109.023*14.30] mapped 546674 sequences
[M::worker_pipeline::109.576*14.31] mapped 546416 sequences
[M::worker_pipeline::110.145*14.32] mapped 546219 sequences
[M::worker_pipeline::110.721*14.34] mapped 546487 sequences
[M::worker_pipeline::111.320*14.35] mapped 545907 sequences
[M::worker_pipeline::111.961*14.35] mapped 544304 sequences
[M::worker_pipeline::112.554*14.36] mapped 543669 sequences
[M::worker_pipeline::113.149*14.37] mapped 543648 sequences
[M::worker_pipeline::113.713*14.38] mapped 542394 sequences
[M::worker_pipeline::114.392*14.38] mapped 540981 sequences
[M::worker_pipeline::114.962*14.39] mapped 540969 sequences
[M::worker_pipeline::115.539*14.40] mapped 540331 sequences
[M::worker_pipeline::116.205*14.40] mapped 539024 sequences
[M::worker_pipeline::116.900*14.40] mapped 538187 sequences
[M::worker_pipeline::117.577*14.40] mapped 537519 sequences
[M::worker_pipeline::118.208*14.40] mapped 538549 sequences
[M::worker_pipeline::118.773*14.41] mapped 537340 sequences
[M::worker_pipeline::119.357*14.42] mapped 538071 sequences
[M::worker_pipeline::119.969*14.43] mapped 554437 sequences
[M::worker_pipeline::120.656*14.42] mapped 553351 sequences
[M::worker_pipeline::121.346*14.42] mapped 551510 sequences
[M::worker_pipeline::121.927*14.43] mapped 550905 sequences
[M::worker_pipeline::122.500*14.44] mapped 549807 sequences
[M::worker_pipeline::123.123*14.45] mapped 548898 sequences
[M::worker_pipeline::123.809*14.45] mapped 548813 sequences
[M::worker_pipeline::124.403*14.46] mapped 548611 sequences
[M::worker_pipeline::125.034*14.46] mapped 548557 sequences
[M::worker_pipeline::125.770*14.46] mapped 548185 sequences
[M::worker_pipeline::126.426*14.46] mapped 547072 sequences
[M::worker_pipeline::127.096*14.46] mapped 544372 sequences
[M::worker_pipeline::127.716*14.47] mapped 543072 sequences
[M::worker_pipeline::128.383*14.47] mapped 541939 sequences
[M::worker_pipeline::128.901*14.49] mapped 541696 sequences
[M::worker_pipeline::129.632*14.49] mapped 539851 sequences
[M::worker_pipeline::130.190*14.49] mapped 541754 sequences
[M::worker_pipeline::130.866*14.50] mapped 539830 sequences
[M::worker_pipeline::131.483*14.50] mapped 541075 sequences
[M::worker_pipeline::132.081*14.51] mapped 540779 sequences
[M::worker_pipeline::132.668*14.51] mapped 539435 sequences
[M::worker_pipeline::133.430*14.50] mapped 538956 sequences
[M::worker_pipeline::134.009*14.51] mapped 538272 sequences
[M::worker_pipeline::134.584*14.52] mapped 537876 sequences
[M::worker_pipeline::135.267*14.52] mapped 537561 sequences
[M::worker_pipeline::135.948*14.51] mapped 537722 sequences
[M::worker_pipeline::136.631*14.51] mapped 537346 sequences
[M::worker_pipeline::137.328*14.50] mapped 538147 sequences
[M::worker_pipeline::137.950*14.51] mapped 551861 sequences
[M::worker_pipeline::138.539*14.51] mapped 552261 sequences
[M::worker_pipeline::139.151*14.52] mapped 551367 sequences
[M::worker_pipeline::139.835*14.52] mapped 549700 sequences
[M::worker_pipeline::140.499*14.52] mapped 550441 sequences
[M::worker_pipeline::141.140*14.51] mapped 547349 sequences
[M::worker_pipeline::141.692*14.53] mapped 545894 sequences
[M::worker_pipeline::142.264*14.53] mapped 545033 sequences
[M::worker_pipeline::142.841*14.54] mapped 545396 sequences
[M::worker_pipeline::143.422*14.54] mapped 544198 sequences
[M::worker_pipeline::144.118*14.54] mapped 541983 sequences
[M::worker_pipeline::144.761*14.54] mapped 538350 sequences
[M::worker_pipeline::145.454*14.54] mapped 540397 sequences
[M::worker_pipeline::145.998*14.55] mapped 540369 sequences
[M::worker_pipeline::146.688*14.55] mapped 539744 sequences
[M::worker_pipeline::147.284*14.55] mapped 538759 sequences
[M::worker_pipeline::147.859*14.56] mapped 539224 sequences
[M::worker_pipeline::148.505*14.56] mapped 538515 sequences
[M::worker_pipeline::149.157*14.57] mapped 538276 sequences
[M::worker_pipeline::149.841*14.57] mapped 537906 sequences
[M::worker_pipeline::150.431*14.57] mapped 537444 sequences
[M::worker_pipeline::150.990*14.58] mapped 536348 sequences
[M::worker_pipeline::151.603*14.59] mapped 537062 sequences
[M::worker_pipeline::152.187*14.59] mapped 536322 sequences
[M::worker_pipeline::152.794*14.59] mapped 535856 sequences
[M::worker_pipeline::153.061*14.60] mapped 309110 sequences
[M::main] Version: 2.30-r1287
[M::main] CMD: minimap2 -x sr --secondary=no -t 200 /media/inter/pipelines/ECMSD/data/refseq_mito/mitochondrion_refseq_taxid_masked.fna.gz /media/inter/mkapun/projects/Tityra/data/trimmed/Tityra_leucura_merged.fastq.gz
[M::main] Real time: 153.456 sec; CPU: 2234.918 sec; Peak RSS: 4.344 GB
